Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
465,LaPhonso Ellis,1993,2003,624,28.2,11.9,6.5,1.6,0.7,0.8,.452,.302,.730,32.8,.089,ellisla01
466,Jay Humphries,1985,1995,788,29.3,11.1,2.5,5.5,1.5,0.1,.476,.297,.782,45.0,.094,humphja01
467,Tree Rollins,1978,1995,1156,20.8,5.4,5.8,0.6,0.4,2.2,.522,.000,.700,63.9,.128,rollitr01
468,Don Buse,1977,1985,648,26.3,6.9,2.3,4.5,1.8,0.1,.442,.333,.780,34.9,.098,busedo01
469,Wali Jones,1965,1976,607,23.8,10.1,2.3,3.2,0.4,0.0,.409,,.800,14.9,.049,joneswa02
470,Larry Hughes,1999,2012,727,30.8,14.1,4.2,3.1,1.5,0.4,.406,.309,.757,32.3,.069,hughela01
471,Marvin Webster,1977,1987,579,22.4,7.1,7.0,1.2,0.4,1.4,.489,.333,.617,28.1,.104,webstma01
472,Jon McGlocklin,1966,1976,792,26.4,11.6,2.4,2.9,0.5,0.1,.489,,.845,47.1,.108,mcglojo01
473,Clem Haskins,1968,1976,681,25.9,12.8,3.1,3.5,0.6,0.1,.449,,.792,35.8,.097,haskicl01
474,Gar Heard,1971,1981,787,24.9,8.7,7.5,1.6,1.3,1.3,.414,.000,.654,27.0,.066,heardga01
475,Terry Catledge,1986,1993,515,26.3,12.7,6.4,0.9,0.6,0.2,.485,.094,.654,20.9,.074,catlete01
476,Phil Hubbard,1980,1989,665,23.9,10.9,5.3,1.3,0.9,0.1,.495,.038,.706,29.0,.088,hubbaph01
477,Bob Kauffman,1969,1975,525,25.8,11.5,7.0,2.7,0.4,0.1,.477,,.749,31.5,.111,kauffbo01
478,Loy Vaught,1991,2001,689,24.7,10.1,7.1,0.9,0.7,0.3,.504,.244,.718,35.8,.101,vaughlo01
479,Dana Barros,1990,2004,850,22.9,10.5,1.9,3.3,0.9,0.1,.460,.411,.858,49.6,.122,barroda01
480,Mitch Kupchak,1977,1986,510,19.4,10.2,5.4,0.7,0.3,0.3,.523,.000,.704,27.1,.131,kupchmi01
481,Elden Campbell,1991,2005,1044,24.7,10.3,5.9,1.1,0.7,1.5,.460,.054,.699,62.8,.117,campbel01
482,Robert Reid,1978,1991,919,27.3,11.4,4.5,2.7,1.1,0.4,.458,.291,.732,40.3,.077,reidro01
483,Clyde Lee,1967,1976,742,26.8,7.7,10.3,1.1,0.4,0.3,.432,,.614,33.5,.081,leecl01
